defined_class	defined_class_label	population_size	wiki	parent_class_label
AfPO:0000551	Kono@en	363000	https://en.wikipedia.org/wiki/Kono_people	Mande Western
AfPO:0000506	Mikea@en	1500	https://en.wikipedia.org/wiki/Mikea_people	Malagasy
AfPO:0000527	Luvale@en		https://en.wikipedia.org/wiki/Luvale_people	Bantu Central
AfPO:0000528	Bedik@en	2500	https://en.wikipedia.org/wiki/Bedick_people	Western African
AfPO:0000368	Moor	2 millions	https://en.wikipedia.org/wiki/Azawagh_Arabs	Semite Northern, Semitic Eastern
AfPO:0000103	Tsonga	6 millions	https://en.wikipedia.org/wiki/Tsonga_people	Bantu Southern
AfPO:0000229	Balanta	0.324 million	https://en.wikipedia.org/wiki/Balanta_people	Western African
AfPO:0000366	Haratin	2 millions	https://en.wikipedia.org/wiki/Haratin	Semite Northern
AfPO:0000352	North Ndebele	1.5 million	https://en.wikipedia.org/wiki/Northern_Ndebele_people	Ndebele
AfPO:0000430	Mandinka	13 millions	https://en.wikipedia.org/wiki/Mandinka_people	Mande Western
AfPO:0000113	Oromo	40 millions	https://en.wikipedia.org/wiki/Oromo_people	Cushitic Eastern
AfPO:0000294	Mbundu	6.4 millions	https://en.wikipedia.org/wiki/Ambundu	Bantu Central
AfPO:0000346	Yeyi	0.3 million	https://en.wikipedia.org/wiki/Yeyi_people	Bantu Southern
AfPO:0000298	Ngamambo	0.08 million		Bantu Central
AfPO:0000269	Cushitic Eastern		https://en.wikipedia.org/wiki/Cushitic_peoples	Eastern African
AfPO:0000112	Meru	2.7 Millions	https://en.wikipedia.org/wiki/Meru_people	Bantu Eastern
AfPO:0000471	Punu@en	317000	https://en.wikipedia.org/wiki/Punu_people	Bantu Central
AfPO:0000239	Mang'anja	2.486 millions	https://en.wikipedia.org/wiki/Mang%27anja	Chewa
AfPO:0000207	Banyarwanda	15.109 millions	https://en.wikipedia.org/wiki/Banyarwanda	Bantu Eastern
AfPO:0000390	Lugbara	11 millions	https://en.wikipedia.org/wiki/Lugbara_people	Sudanic
